timestamp,machine_id,metric,value
2021-09-09 06:59:12.271000+00:00,q455,SCAN_TEMP_RUN,28.9038144094
2021-09-09 07:04:12.833000+00:00,q455,SCAN_TEMP_RUN,28.6899907816
2021-09-09 07:17:34.232000+00:00,q455,SCAN_TEMP_RUN,28.3699298486
2021-09-09 07:23:41.525000+00:00,q455,SCAN_TEMP_RUN,29.2252432599
2021-09-09 07:35:48.119000+00:00,q455,SCAN_TEMP_RUN,28.7968570006
2021-09-09 07:40:48.688000+00:00,q455,SCAN_TEMP_RUN,28.7968570006
2021-09-09 07:45:49.229000+00:00,q455,SCAN_TEMP_RUN,29.0108639549
2021-09-09 07:50:49.757000+00:00,q455,SCAN_TEMP_RUN,29.0108639549
2021-09-09 07:55:50.318000+00:00,q455,SCAN_TEMP_RUN,28.6899907816
2021-09-09 08:00:50.848000+00:00,q455,SCAN_TEMP_RUN,29.0108639549
2021-09-09 08:05:51.430000+00:00,q455,SCAN_TEMP_RUN,28.6899907816
2021-09-09 08:10:51.964000+00:00,q455,SCAN_TEMP_RUN,28.6899907816
2021-09-09 08:15:52.527000+00:00,q455,SCAN_TEMP_RUN,28.7968570006
2021-09-09 08:20:53.056000+00:00,q455,SCAN_TEMP_RUN,28.9038144094
2021-09-09 08:25:53.615000+00:00,q455,SCAN_TEMP_RUN,28.6899907816
2021-09-09 08:30:54.159000+00:00,q455,SCAN_TEMP_RUN,28.4765281437
2021-09-09 08:35:54.730000+00:00,q455,SCAN_TEMP_RUN,28.5832148092
2021-09-09 08:40:55.272000+00:00,q455,SCAN_TEMP_RUN,28.7968570006
2021-09-09 08:45:55.798000+00:00,q455,SCAN_TEMP_RUN,28.5832148092
2021-09-09 08:50:56.324000+00:00,q455,SCAN_TEMP_RUN,28.7968570006
2021-09-09 08:55:56.866000+00:00,q455,SCAN_TEMP_RUN,28.6899907816
2021-09-09 09:00:57.393000+00:00,q455,SCAN_TEMP_RUN,28.3699298486
2021-09-09 09:05:57.969000+00:00,q455,SCAN_TEMP_RUN,28.4765281437
2021-09-09 09:10:58.512000+00:00,q455,SCAN_TEMP_RUN,28.4765281437
2021-09-09 09:15:59.036000+00:00,q455,SCAN_TEMP_RUN,28.6899907816
2021-09-09 09:20:59.566000+00:00,q455,SCAN_TEMP_RUN,28.3699298486
2021-09-09 09:26:00.092000+00:00,q455,SCAN_TEMP_RUN,28.6899907816
2021-09-09 09:31:00.675000+00:00,q455,SCAN_TEMP_RUN,28.3699298486
2021-09-09 09:36:01.210000+00:00,q455,SCAN_TEMP_RUN,28.263418991
2021-09-09 09:41:01.717000+00:00,q455,SCAN_TEMP_RUN,28.3699298486
2021-09-09 09:46:02.253000+00:00,q455,SCAN_TEMP_RUN,28.263418991
2021-09-09 09:51:02.791000+00:00,q455,SCAN_TEMP_RUN,28.156994641
2021-09-09 09:56:11.049000+00:00,q455,SCAN_TEMP_RUN,28.263418991
2021-09-09 10:01:11.612000+00:00,q455,SCAN_TEMP_RUN,28.0506558722
2021-09-09 10:06:12.192000+00:00,q455,SCAN_TEMP_RUN,27.9444017611
2021-09-09 10:11:12.747000+00:00,q455,SCAN_TEMP_RUN,27.9444017611
2021-09-09 10:16:13.289000+00:00,q455,SCAN_TEMP_RUN,28.156994641
2021-09-09 10:21:13.861000+00:00,q455,SCAN_TEMP_RUN,27.7321438345
2021-09-09 10:26:14.409000+00:00,q455,SCAN_TEMP_RUN,27.7321438345
2021-09-09 10:31:14.973000+00:00,q455,SCAN_TEMP_RUN,27.6261381879
2021-09-09 10:36:15.536000+00:00,q455,SCAN_TEMP_RUN,27.6261381879
2021-09-09 10:41:16.099000+00:00,q455,SCAN_TEMP_RUN,27.7321438345
2021-09-09 10:54:03.701000+00:00,q455,SCAN_TEMP_RUN,27.5202135367
